province,adcode,model,bodyType,regYear,regMonth,salesVolume,popularity
上海,310000,3c974920a76ac9c1,SUV,2016,1,292,1479
云南,530000,3c974920a76ac9c1,SUV,2016,1,466,1594
内蒙古,150000,3c974920a76ac9c1,SUV,2016,1,257,1479
北京,110000,3c974920a76ac9c1,SUV,2016,1,408,2370
四川,510000,3c974920a76ac9c1,SUV,2016,1,610,3562
安徽,340000,3c974920a76ac9c1,SUV,2016,1,206,1314
山东,370000,3c974920a76ac9c1,SUV,2016,1,503,3476
山西,140000,3c974920a76ac9c1,SUV,2016,1,236,1422
广东,440000,3c974920a76ac9c1,SUV,2016,1,3635,7182
广西,450000,3c974920a76ac9c1,SUV,2016,1,450,1163
江苏,320000,3c974920a76ac9c1,SUV,2016,1,876,3670
江西,360000,3c974920a76ac9c1,SUV,2016,1,253,926
河北,130000,3c974920a76ac9c1,SUV,2016,1,306,2973
河南,410000,3c974920a76ac9c1,SUV,2016,1,537,3483
浙江,330000,3c974920a76ac9c1,SUV,2016,1,650,3167
湖北,420000,3c974920a76ac9c1,SUV,2016,1,635,2190
湖南,430000,3c974920a76ac9c1,SUV,2016,1,525,1666
福建,350000,3c974920a76ac9c1,SUV,2016,1,462,1357
辽宁,210000,3c974920a76ac9c1,SUV,2016,1,791,2808
重庆,500000,3c974920a76ac9c1,SUV,2016,1,195,682
陕西,610000,3c974920a76ac9c1,SUV,2016,1,298,1558
黑龙江,230000,3c974920a76ac9c1,SUV,2016,1,309,2118
上海,310000,3d7554f1f56dd664,Sedan,2016,1,389,1519
云南,530000,3d7554f1f56dd664,Sedan,2016,1,306,1161
内蒙古,150000,3d7554f1f56dd664,Sedan,2016,1,260,1340
北京,110000,3d7554f1f56dd664,Sedan,2016,1,449,2388
四川,510000,3d7554f1f56dd664,Sedan,2016,1,757,3757
安徽,340000,3d7554f1f56dd664,Sedan,2016,1,275,1378
山东,370000,3d7554f1f56dd664,Sedan,2016,1,890,3643
山西,140000,3d7554f1f56dd664,Sedan,2016,1,387,1425
广东,440000,3d7554f1f56dd664,Sedan,2016,1,8330,9439
广西,450000,3d7554f1f56dd664,Sedan,2016,1,801,1491
江苏,320000,3d7554f1f56dd664,Sedan,2016,1,1685,4436
江西,360000,3d7554f1f56dd664,Sedan,2016,1,393,1170
河北,130000,3d7554f1f56dd664,Sedan,2016,1,788,3275
河南,410000,3d7554f1f56dd664,Sedan,2016,1,850,3728
浙江,330000,3d7554f1f56dd664,Sedan,2016,1,1438,4077
湖北,420000,3d7554f1f56dd664,Sedan,2016,1,762,2086
湖南,430000,3d7554f1f56dd664,Sedan,2016,1,678,1887
福建,350000,3d7554f1f56dd664,Sedan,2016,1,1115,1812
辽宁,210000,3d7554f1f56dd664,Sedan,2016,1,1304,3398
重庆,500000,3d7554f1f56dd664,Sedan,2016,1,188,679
陕西,610000,3d7554f1f56dd664,Sedan,2016,1,240,1444
黑龙江,230000,3d7554f1f56dd664,Sedan,2016,1,467,2274
上海,310000,2d0d2c3403909fdb,SUV,2016,1,232,822
云南,530000,2d0d2c3403909fdb,SUV,2016,1,297,1017
内蒙古,150000,2d0d2c3403909fdb,SUV,2016,1,259,932
北京,110000,2d0d2c3403909fdb,SUV,2016,1,805,1337
四川,510000,2d0d2c3403909fdb,SUV,2016,1,423,2167
安徽,340000,2d0d2c3403909fdb,SUV,2016,1,138,851
山东,370000,2d0d2c3403909fdb,SUV,2016,1,337,2019
山西,140000,2d0d2c3403909fdb,SUV,2016,1,166,712
广东,440000,2d0d2c3403909fdb,SUV,2016,1,1775,3140
广西,450000,2d0d2c3403909fdb,SUV,2016,1,207,527
江苏,320000,2d0d2c3403909fdb,SUV,2016,1,463,1790
江西,360000,2d0d2c3403909fdb,SUV,2016,1,97,467
河北,130000,2d0d2c3403909fdb,SUV,2016,1,326,1780
河南,410000,2d0d2c3403909fdb,SUV,2016,1,271,1890
浙江,330000,2d0d2c3403909fdb,SUV,2016,1,381,1695
湖北,420000,2d0d2c3403909fdb,SUV,2016,1,226,1030
湖南,430000,2d0d2c3403909fdb,SUV,2016,1,259,866
福建,350000,2d0d2c3403909fdb,SUV,2016,1,137,537
辽宁,210000,2d0d2c3403909fdb,SUV,2016,1,543,1281
重庆,500000,2d0d2c3403909fdb,SUV,2016,1,172,458
陕西,610000,2d0d2c3403909fdb,SUV,2016,1,248,838
黑龙江,230000,2d0d2c3403909fdb,SUV,2016,1,362,1158
上海,310000,a28bb927b6fcb33c,Sedan,2016,1,243,669
云南,530000,a28bb927b6fcb33c,Sedan,2016,1,238,465
内蒙古,150000,a28bb927b6fcb33c,Sedan,2016,1,190,552
北京,110000,a28bb927b6fcb33c,Sedan,2016,1,335,1026
四川,510000,a28bb927b6fcb33c,Sedan,2016,1,528,1753
安徽,340000,a28bb927b6fcb33c,Sedan,2016,1,308,735
山东,370000,a28bb927b6fcb33c,Sedan,2016,1,424,1635
山西,140000,a28bb927b6fcb33c,Sedan,2016,1,182,578
广东,440000,a28bb927b6fcb33c,Sedan,2016,1,4260,4350
广西,450000,a28bb927b6fcb33c,Sedan,2016,1,414,617
江苏,320000,a28bb927b6fcb33c,Sedan,2016,1,902,2035
江西,360000,a28bb927b6fcb33c,Sedan,2016,1,248,491
河北,130000,a28bb927b6fcb33c,Sedan,2016,1,409,1540
河南,410000,a28bb927b6fcb33c,Sedan,2016,1,455,1535
浙江,330000,a28bb927b6fcb33c,Sedan,2016,1,1040,2053
湖北,420000,a28bb927b6fcb33c,Sedan,2016,1,675,1022
湖南,430000,a28bb927b6fcb33c,Sedan,2016,1,547,870
福建,350000,a28bb927b6fcb33c,Sedan,2016,1,464,717
辽宁,210000,a28bb927b6fcb33c,Sedan,2016,1,649,1261
重庆,500000,a28bb927b6fcb33c,Sedan,2016,1,187,352
陕西,610000,a28bb927b6fcb33c,Sedan,2016,1,259,648
黑龙江,230000,a28bb927b6fcb33c,Sedan,2016,1,291,944
上海,310000,17bc272c93f19d56,MPV,2016,1,365,3369
云南,530000,17bc272c93f19d56,MPV,2016,1,4147,6548
内蒙古,150000,17bc272c93f19d56,MPV,2016,1,567,2074
北京,110000,17bc272c93f19d56,MPV,2016,1,456,4987
四川,510000,17bc272c93f19d56,MPV,2016,1,1772,8433
安徽,340000,17bc272c93f19d56,MPV,2016,1,2289,4473
山东,370000,17bc272c93f19d56,MPV,2016,1,5481,11802
山西,140000,17bc272c93f19d56,MPV,2016,1,2166,5520
广东,440000,17bc272c93f19d56,MPV,2016,1,2118,14106
广西,450000,17bc272c93f19d56,MPV,2016,1,4779,5444
江苏,320000,17bc272c93f19d56,MPV,2016,1,2358,9156
江西,360000,17bc272c93f19d56,MPV,2016,1,1882,3102
河北,130000,17bc272c93f19d56,MPV,2016,1,4112,10812
河南,410000,17bc272c93f19d56,MPV,2016,1,7051,19036
浙江,330000,17bc272c93f19d56,MPV,2016,1,1411,7690
湖北,420000,17bc272c93f19d56,MPV,2016,1,1923,4759
湖南,430000,17bc272c93f19d56,MPV,2016,1,2637,5196
福建,350000,17bc272c93f19d56,MPV,2016,1,670,2703
辽宁,210000,17bc272c93f19d56,MPV,2016,1,1203,3388
重庆,500000,17bc272c93f19d56,MPV,2016,1,370,1541
陕西,610000,17bc272c93f19d56,MPV,2016,1,2683,5882
黑龙江,230000,17bc272c93f19d56,MPV,2016,1,721,2569
上海,310000,2a2ab41f8f6ff1cb,SUV,2016,1,431,1320
云南,530000,2a2ab41f8f6ff1cb,SUV,2016,1,248,755
内蒙古,150000,2a2ab41f8f6ff1cb,SUV,2016,1,939,1243
北京,110000,2a2ab41f8f6ff1cb,SUV,2016,1,458,1904
四川,510000,2a2ab41f8f6ff1cb,SUV,2016,1,1221,3683
安徽,340000,2a2ab41f8f6ff1cb,SUV,2016,1,1440,1999
山东,370000,2a2ab41f8f6ff1cb,SUV,2016,1,1657,4276
山西,140000,2a2ab41f8f6ff1cb,SUV,2016,1,639,1454
广东,440000,2a2ab41f8f6ff1cb,SUV,2016,1,6442,9568
广西,450000,2a2ab41f8f6ff1cb,SUV,2016,1,719,1119
江苏,320000,2a2ab41f8f6ff1cb,SUV,2016,1,2063,4257
江西,360000,2a2ab41f8f6ff1cb,SUV,2016,1,1070,1387
河北,130000,2a2ab41f8f6ff1cb,SUV,2016,1,1775,4276
河南,410000,2a2ab41f8f6ff1cb,SUV,2016,1,2481,5788
浙江,330000,2a2ab41f8f6ff1cb,SUV,2016,1,1156,2659
湖北,420000,2a2ab41f8f6ff1cb,SUV,2016,1,1769,2506
湖南,430000,2a2ab41f8f6ff1cb,SUV,2016,1,1843,2392
福建,350000,2a2ab41f8f6ff1cb,SUV,2016,1,356,956
