"id","industryid","siteid","sitename","channelid","channelname","type","userid","createtime"
"3491","52","4298028535944830354","百度","2092498004122776199","汽车","11","1","2019/8/5 14:09:39"
"3492","52","-9215081843127186919","新浪财经移动端","","","31","1","2019/8/5 14:09:39"
"3493","52","-9129605718231186428","新浪新闻移动端","6075258538654280057","汽车","31","1","2019/8/5 14:09:39"
"3521","55","-970376464133967433","新华网移动端","3224423085048202922","资讯-列表新闻","31","1","2019/8/14 15:56:51"
"3522","55","5628467610408463858","今日头条","-2407732245958998834","推荐","11","1","2019/8/14 15:56:51"
"3523","55","-6626102723183488969","ZAKER移动端","3696724096151888808","厦门","31","1","2019/8/14 15:56:51"
"6558","5","1120018217835149745","汽车之家","3699948418883187981","资讯文章_新能源","11","1","2019/8/27 14:24:37"
"6559","5","1120018217835149745","汽车之家","849154588247248044","汽车之家论坛_北汽新能源EX论坛","11","1","2019/8/27 14:24:37"
"6560","5","1120018217835149745","汽车之家","-9197884927942032518","汽车之家论坛_北汽新能源EH400论坛","11","1","2019/8/27 14:24:37"
"6561","5","1120018217835149745","汽车之家","-7795863893123758003","汽车之家论坛_北汽新能源D80EV论坛","11","1","2019/8/27 14:24:37"
"6562","5","1120018217835149745","汽车之家","-5169230459145106339","汽车之家论坛_北汽新能源EX300L论坛","11","1","2019/8/27 14:24:37"
"6563","5","1120018217835149745","汽车之家","3202814934711945152","汽车之家论坛_野马T70新能源论坛","11","1","2019/8/27 14:24:37"
"6564","5","1120018217835149745","汽车之家","-6984710171774552867","汽车之家论坛_奔驰C级新能源论坛","11","1","2019/8/27 14:24:37"
"6565","5","1120018217835149745","汽车之家","-6410834127197681643","汽车之家论坛_奔驰S级新能源论坛","11","1","2019/8/27 14:24:37"
"6566","5","1120018217835149745","汽车之家","3550012011958666074","汽车之家论坛_逸动新能源论坛","11","1","2019/8/27 14:24:37"
"6567","5","1120018217835149745","汽车之家","-9037211816810132143","汽车之家论坛_比亚迪F3新能源论坛","11","1","2019/8/27 14:24:37"
"6568","5","1120018217835149745","汽车之家","-4239889124544045853","汽车之家论坛_Cayenne新能源论坛","11","1","2019/8/27 14:24:37"
"6569","5","1120018217835149745","汽车之家","-4554501880282478570","汽车之家论坛_沃尔沃S60L新能源论坛","11","1","2019/8/27 14:24:37"
"6570","5","1120018217835149745","汽车之家","4435155843785481339","汽车之家论坛_smartfortwo新能源论坛","11","1","2019/8/27 14:24:37"
"6571","5","1120018217835149745","汽车之家","-5027222612560111154","汽车之家论坛_沃尔沃XC90新能源论坛","11","1","2019/8/27 14:24:37"
"6572","5","1120018217835149745","汽车之家","-4805729382631368696","汽车之家论坛_Panamera新能源论坛","11","1","2019/8/27 14:24:37"
"6573","5","1120018217835149745","汽车之家","-7226213676434679712","汽车之家论坛_奥迪A3(进口)新能源论坛","11","1","2019/8/27 14:24:37"
"6574","5","1120018217835149745","汽车之家","-2326409210467861732","汽车之家论坛_高尔夫(进口)新能源论坛","11","1","2019/8/27 14:24:37"
"6575","5","1120018217835149745","汽车之家","284116991545173396","汽车之家论坛_宝马5系新能源论坛","11","1","2019/8/27 14:24:37"
"6576","5","1120018217835149745","汽车之家","-881669679149391911","汽车之家论坛_奔驰GLE新能源论坛","11","1","2019/8/27 14:24:37"
"6577","5","1120018217835149745","汽车之家","-5675868184543287221","汽车之家论坛_传祺GA5新能源论坛","11","1","2019/8/27 14:24:37"
"6578","5","1120018217835149745","汽车之家","-5609526243594365376","汽车之家论坛_smartforfour新能源论坛","11","1","2019/8/27 14:24:37"
"6579","5","1120018217835149745","汽车之家","7338830648945311595","汽车之家论坛_奔奔新能源论坛","11","1","2019/8/27 14:24:37"
"6580","5","1120018217835149745","汽车之家","2479498375239901003","汽车之家论坛_宝马7系新能源论坛","11","1","2019/8/27 14:24:37"
"6581","5","1120018217835149745","汽车之家","-8764553857967384679","汽车之家论坛_宝马X1新能源论坛","11","1","2019/8/27 14:24:37"
"6582","5","1120018217835149745","汽车之家","-4529870606536044520","汽车之家论坛_宝马X5新能源论坛","11","1","2019/8/27 14:24:37"
"6583","5","1120018217835149745","汽车之家","7928801501797394909","汽车之家论坛_长城C30新能源论坛","11","1","2019/8/27 14:24:37"
"6584","5","6942845200315040931","新华网","3747790456331099170","汽车_新能源","11","1","2019/8/27 14:24:37"
"6585","5","6942845200315040931","新华网","-5966506265519642967","新华能源_新能源","11","1","2019/8/27 14:24:37"
"6586","5","6942845200315040931","新华网","-8565655340138201738","能源_新能源","11","1","2019/8/27 14:24:37"
"6587","5","6942845200315040931","新华网","-1327881053212157070","新能源","11","1","2019/8/27 14:24:37"
"6588","5","-4489473672266778119","新浪","-1432363585138816818","新浪汽车_新能源","11","1","2019/8/27 14:24:37"
"6589","5","-4489473672266778119","新浪","-7561439737734352856","新浪汽车_新浪汽车论坛_北汽新能源","11","1","2019/8/27 14:24:37"
"6590","5","-4489473672266778119","新浪","-162648396404998230","新浪汽车_导购_玩转新能源","11","1","2019/8/27 14:24:37"
"6591","5","7970768608323785483","新浪网","8736429610509650594","新浪地产网行业资讯新能源","11","1","2019/8/27 14:24:37"
"6592","5","7970768608323785483","新浪网","7797176852263893102","新浪地产网行业资讯新能源空调","11","1","2019/8/27 14:24:37"
"6593","5","7970768608323785483","新浪网","4469681517071446973","新浪地产网行业资讯新能源太阳能","11","1","2019/8/27 14:24:37"
"6594","5","7970768608323785483","新浪网","-5216025562841608741","财经_新能源_新趋势","11","1","2019/8/27 14:24:37"
"6595","5","7970768608323785483","新浪网","-3786985539276599566","能源_新能源","11","1","2019/8/27 14:24:37"
